ItemID,ABC_Class,Access_Frequency,Slow_Moving_SKU,Location
Item148,C,17,Yes,Zone A-Rack7-Shelf1
Item149,A,62,No,Zone D-Rack9-Shelf1
Item150,B,84,No,Zone D-Rack8-Shelf1
Item151,C,89,No,Zone A-Rack13-Shelf3
Item152,B,86,No,Zone C-Rack19-Shelf5
Item153,A,13,Yes,Zone A-Rack13-Shelf5
Item154,B,59,No,Zone C-Rack18-Shelf1
Item155,C,19,Yes,Zone C-Rack15-Shelf2
Item156,B,49,No,Zone B-Rack17-Shelf2
Item157,C,12,Yes,Zone C-Rack4-Shelf1
Item158,C,61,No,Zone E-Rack7-Shelf3
Item159,B,19,Yes,Zone B-Rack10-Shelf3
Item160,C,76,No,Zone B-Rack1-Shelf4
Item161,B,9,Yes,Zone B-Rack7-Shelf5
Item162,C,71,No,Zone A-Rack3-Shelf3
Item163,C,28,No,Zone E-Rack8-Shelf1
Item164,C,78,No,Zone E-Rack3-Shelf3
Item165,A,95,No,Zone A-Rack15-Shelf2
Item166,C,52,No,Zone C-Rack14-Shelf3
Item167,B,83,No,Zone D-Rack20-Shelf5
Item168,A,16,Yes,Zone E-Rack14-Shelf2
Item169,A,69,No,Zone B-Rack7-Shelf1
Item170,C,99,No,Zone E-Rack19-Shelf5
Item171,C,12,Yes,Zone C-Rack4-Shelf5
Item172,A,25,No,Zone D-Rack18-Shelf2
Item173,C,52,No,Zone A-Rack15-Shelf5
Item174,B,85,No,Zone D-Rack11-Shelf2
Item175,C,53,No,Zone B-Rack3-Shelf4
Item176,A,23,No,Zone D-Rack5-Shelf5
Item177,C,16,Yes,Zone A-Rack2-Shelf5
Item178,B,57,No,Zone D-Rack3-Shelf4
Item179,C,39,No,Zone B-Rack12-Shelf1
Item180,A,53,No,Zone B-Rack14-Shelf1
Item181,B,42,No,Zone B-Rack19-Shelf1
Item182,A,58,No,Zone A-Rack8-Shelf2
Item183,C,39,No,Zone E-Rack7-Shelf1
Item184,C,14,Yes,Zone C-Rack14-Shelf4
Item185,B,95,No,Zone B-Rack13-Shelf2
Item186,C,5,Yes,Zone E-Rack11-Shelf2
Item187,C,35,No,Zone E-Rack10-Shelf4
Item188,C,87,No,Zone A-Rack6-Shelf2
Item189,C,93,No,Zone A-Rack5-Shelf1
Item190,B,75,No,Zone B-Rack12-Shelf5
Item191,A,18,Yes,Zone B-Rack6-Shelf3
Item192,C,76,No,Zone B-Rack12-Shelf5
Item193,C,9,Yes,Zone A-Rack7-Shelf2
Item194,C,74,No,Zone E-Rack17-Shelf2
Item195,B,58,No,Zone E-Rack14-Shelf2
Item196,B,17,Yes,Zone D-Rack11-Shelf1
Item197,C,7,Yes,Zone C-Rack4-Shelf3
Item198,C,46,No,Zone B-Rack11-Shelf3
Item199,C,13,Yes,Zone D-Rack17-Shelf3
Item200,C,40,No,Zone C-Rack2-Shelf5
Item201,C,42,No,Zone A-Rack4-Shelf4
Item202,A,9,Yes,Zone C-Rack3-Shelf4
Item203,A,50,No,Zone C-Rack17-Shelf3
Item204,C,27,No,Zone E-Rack11-Shelf2
Item205,C,66,No,Zone A-Rack2-Shelf5
Item206,A,5,Yes,Zone A-Rack9-Shelf1
Item207,A,29,No,Zone A-Rack11-Shelf2
Item208,C,37,No,Zone A-Rack7-Shelf3
Item209,A,38,No,Zone C-Rack18-Shelf5
Item210,A,83,No,Zone D-Rack12-Shelf3
Item211,C,8,Yes,Zone B-Rack12-Shelf3
Item212,C,65,No,Zone E-Rack12-Shelf3
Item213,C,86,No,Zone C-Rack17-Shelf5
Item214,B,17,Yes,Zone A-Rack10-Shelf1
Item215,C,71,No,Zone A-Rack15-Shelf4
Item216,B,89,No,Zone C-Rack8-Shelf5
Item217,B,45,No,Zone A-Rack5-Shelf1
Item218,C,4,Yes,Zone B-Rack12-Shelf3
Item219,C,36,No,Zone B-Rack9-Shelf5
Item220,C,70,No,Zone B-Rack15-Shelf2
Item221,C,31,No,Zone A-Rack7-Shelf5
Item222,C,19,Yes,Zone A-Rack19-Shelf2
Item223,A,61,No,Zone C-Rack18-Shelf4
Item224,B,54,No,Zone C-Rack18-Shelf3
Item225,B,39,No,Zone B-Rack7-Shelf1
Item226,B,91,No,Zone C-Rack12-Shelf4
Item227,C,74,No,Zone E-Rack2-Shelf3
Item228,B,90,No,Zone E-Rack11-Shelf2
Item229,C,19,Yes,Zone D-Rack7-Shelf1
Item230,C,39,No,Zone D-Rack13-Shelf2
Item231,C,67,No,Zone A-Rack16-Shelf5
Item232,C,45,No,Zone B-Rack12-Shelf2
Item233,C,13,Yes,Zone C-Rack10-Shelf2
Item234,B,92,No,Zone C-Rack13-Shelf5
Item235,A,58,No,Zone B-Rack3-Shelf3
Item236,C,20,No,Zone D-Rack17-Shelf5
Item237,B,92,No,Zone E-Rack12-Shelf1
Item238,A,72,No,Zone D-Rack15-Shelf1
Item239,C,61,No,Zone B-Rack7-Shelf4
Item240,A,39,No,Zone E-Rack1-Shelf1
Item241,C,1,Yes,Zone C-Rack13-Shelf2
Item242,C,3,Yes,Zone D-Rack18-Shelf5
Item243,C,77,No,Zone A-Rack16-Shelf1
Item244,B,92,No,Zone E-Rack14-Shelf1
Item245,A,62,No,Zone A-Rack4-Shelf4
Item246,C,63,No,Zone C-Rack5-Shelf5
Item247,B,25,No,Zone E-Rack11-Shelf4
Item248,C,56,No,Zone C-Rack13-Shelf2
Item249,C,33,No,Zone A-Rack7-Shelf4
Item250,C,38,No,Zone D-Rack8-Shelf4
Item251,B,6,Yes,Zone E-Rack19-Shelf5
Item252,B,58,No,Zone B-Rack11-Shelf2
Item253,C,44,No,Zone A-Rack9-Shelf1
Item254,B,45,No,Zone B-Rack3-Shelf5
Item255,A,32,No,Zone E-Rack15-Shelf1
Item256,C,45,No,Zone A-Rack3-Shelf4
Item257,C,61,No,Zone B-Rack17-Shelf5
Item258,C,47,No,Zone C-Rack10-Shelf3
Item259,C,21,No,Zone B-Rack18-Shelf1
Item260,A,80,No,Zone C-Rack3-Shelf5
Item261,C,85,No,Zone E-Rack15-Shelf1
Item262,C,75,No,Zone A-Rack4-Shelf5
Item263,A,36,No,Zone B-Rack11-Shelf1
Item264,C,99,No,Zone C-Rack9-Shelf3
Item265,C,19,Yes,Zone A-Rack2-Shelf4
Item266,C,20,No,Zone B-Rack9-Shelf1
Item267,C,57,No,Zone E-Rack11-Shelf3
Item268,C,18,Yes,Zone B-Rack15-Shelf3
Item269,B,47,No,Zone E-Rack16-Shelf2
Item270,B,49,No,Zone B-Rack6-Shelf5
Item271,C,14,Yes,Zone D-Rack16-Shelf5
Item272,C,15,Yes,Zone D-Rack5-Shelf5
Item273,C,31,No,Zone A-Rack18-Shelf5
Item274,C,1,Yes,Zone E-Rack19-Shelf2
Item275,C,54,No,Zone C-Rack8-Shelf2
Item276,C,3,Yes,Zone C-Rack13-Shelf5
Item277,C,16,Yes,Zone A-Rack6-Shelf3
Item278,C,87,No,Zone D-Rack1-Shelf3
Item279,C,57,No,Zone C-Rack16-Shelf1
Item280,C,75,No,Zone E-Rack11-Shelf5
Item281,C,12,Yes,Zone A-Rack10-Shelf4
Item282,B,74,No,Zone C-Rack6-Shelf4
Item283,B,96,No,Zone E-Rack11-Shelf5
Item284,A,16,Yes,Zone B-Rack19-Shelf2
Item285,C,72,No,Zone B-Rack11-Shelf5
Item286,A,76,No,Zone B-Rack4-Shelf2
Item287,B,24,No,Zone E-Rack12-Shelf2
Item288,C,28,No,Zone E-Rack14-Shelf3
Item289,B,8,Yes,Zone A-Rack9-Shelf1
Item290,C,92,No,Zone B-Rack13-Shelf3
Item291,A,36,No,Zone C-Rack7-Shelf2
Item292,A,90,No,Zone A-Rack2-Shelf4
Item293,C,8,Yes,Zone D-Rack15-Shelf5
Item294,B,58,No,Zone E-Rack4-Shelf4
Item295,A,60,No,Zone D-Rack18-Shelf4
Item296,C,50,No,Zone C-Rack17-Shelf4
Item297,C,28,No,Zone A-Rack10-Shelf1
Item298,B,92,No,Zone B-Rack18-Shelf2
Item299,C,41,No,Zone E-Rack12-Shelf4
Item300,A,64,No,Zone C-Rack3-Shelf4
